Subject,Condition,Time_point,Value
4,1,428,5.62624883651733
4,1,429,5.62747359275818
4,1,430,5.59956604242325
4,1,431,5.54154413938522
4,1,432,5.45468747615814
4,1,433,5.34239944815636
4,1,434,5.20982676744461
4,1,435,5.06323805451393
4,1,436,4.90929970145226
4,1,437,4.75430306792259
4,1,438,4.60344663262367
4,1,439,4.4603084847331
4,1,440,4.32651084661484
4,1,441,4.20168832689524
4,1,442,4.08373093605042
4,1,443,3.96927073597908
4,1,444,3.85436449944973
4,1,445,3.7352377474308
4,1,446,3.60902434587479
4,1,447,3.4743686914444
4,1,448,3.33181741833687
4,1,449,3.18390664458275
4,1,450,3.03497785329819
4,1,451,2.8906714618206
4,2,401,5.39048832654953
4,2,402,5.54833137989044
4,2,403,5.71724188327789
4,2,404,5.89167279005051
4,2,405,6.06608253717422
4,2,406,6.23544836044312
4,2,407,6.3956710100174
4,2,408,6.54381662607193
4,2,409,6.67823803424835
4,2,410,6.79853790998459
4,2,411,6.90544056892395
4,2,412,7.00056916475296
4,2,413,7.08620738983154
4,2,414,7.16504514217377
4,2,415,7.24000054597855
4,2,416,7.31403398513794
4,2,417,7.39004790782928
4,2,418,7.4708080291748
4,2,419,7.55890887975693
4,2,420,7.65669620037079
4,2,421,7.76621162891388
4,2,422,7.88905513286591
4,2,423,8.02624577283859
4,2,424,8.17801570892334
4,2,425,8.34363716840744
4,2,426,8.52122569084167
4,2,427,8.70767188072205
4,2,428,8.89860391616821
4,2,429,9.08849954605103
4,2,430,9.27094376087189
4,2,431,9.43901312351227
4,2,432,9.58575451374054
4,2,433,9.70472967624664
4,2,434,9.79059636592865
4,2,435,9.83958554267883
4,2,436,9.84988689422607
4,2,437,9.82184541225433
4,2,438,9.75794064998627
4,2,439,9.66257882118225
4,2,440,9.54165005683899
4,2,441,9.40193629264832
4,2,442,9.25042343139648
4,2,443,9.09360003471375
4,2,444,8.93685358762741
4,2,445,8.78398495912552
4,2,446,8.63694870471954
4,2,447,8.49585825204849
4,2,448,8.35921972990036
4,2,449,8.22440338134766
4,2,450,8.08826345205307
4,2,451,7.94785708189011
4,3,401,4.70180553197861
4,3,402,4.70388644933701
4,3,403,4.71116632223129
4,3,404,4.72504991292953
4,3,405,4.74694752693176
4,3,406,4.77815359830856
4,3,407,4.81971919536591
4,3,408,4.87236100435257
4,3,409,4.93638426065445
4,3,410,5.0116394162178
4,3,411,5.09753358364105
4,3,412,5.19307631254196
4,3,413,5.29693150520325
4,3,414,5.4075203537941
4,3,415,5.5231192111969
4,3,416,5.64196246862411
4,3,417,5.76232075691223
